?column?	id	code	title	budget_category_id	room_id	decision_category_id	type_group	type_section	item_order	baseline_spec	baseline_budget_ex_vat	quantity	unit	decision_stage	priority	description	architect_note	is_active	created_at	updated_at
ITEM	entrance-floor-finish	ENTRANCE-FLOOR-FINISH	Entrance floor finish	finishes	room-entranceway	dec-cat-finishes	Floors, walls & decorating	Entrance floors	46	Controlled terrazzo floor within the entrance allowance.	3500.00			now	medium	This is one of the justified places for a strong, durable floor finish.		t	2026-04-04 17:52:27.320695+00	2026-04-04 17:52:27.320695+00
ITEM	principal-bedroom-floor-finish	PRINCIPAL-BEDROOM-FLOOR-FINISH	Bedroom floor finish	finishes	room-principal-suite	dec-cat-bedroom	Floors, walls & decorating	Principal bedroom floors	77	Engineered oak floor within the principal bedroom allowance.	2500.00			now	medium	One of the bedroom finish upgrades that may justify slightly better quality than the guest rooms.		t	2026-04-04 17:52:27.320695+00	2026-04-04 17:52:27.320695+00
ITEM	living-kitchen-floor-finish	LIVING-KITCHEN-FLOOR-FINISH	Main living volume floor finish	finishes	room-kitchen-dining-living	dec-cat-finishes	Floors, walls & decorating	Living floors	56	Polished terrazzo across the principal living volume within the control budget.	14500.00			now	medium	Major finish item and one of the visible ‘good money’ decisions in the house.		t	2026-04-04 17:52:27.320695+00	2026-04-04 17:52:27.320695+00
ITEM	office-floor-finish	OFFICE-FLOOR-FINISH	Floor finish	finishes	room-office	dec-cat-finishes	Floors, walls & decorating	Study floors	61	Engineered oak floor within the control budget.	1400.00			now	medium	Keep the office durable and consistent with the bedroom-quality oak finish level.		t	2026-04-04 17:52:27.320695+00	2026-04-04 17:52:27.320695+00
ITEM	utility-floor-finish	UTILITY-FLOOR-FINISH	Floor finish	finishes	room-laundry-room	dec-cat-finishes	Floors, walls & decorating	Utility floors	68	Durable serviceable hard floor within the control budget.	1500.00			now	medium	Use a practical floor that can deal with moisture and cleaning.		t	2026-04-04 17:52:27.320695+00	2026-04-04 17:52:27.320695+00
ITEM	circulation-floor-finish	CIRCULATION-FLOOR-FINISH	Hall and stair circulation floor finish	finishes	room-hallways-stair-circulation	dec-cat-finishes	Floors, walls & decorating	Circulation floors	72	Engineered oak or continuous controlled floor finish to circulation spaces.	1500.00			now	medium	Hold the circulation finish consistently so it does not get lost between room budgets.		t	2026-04-04 17:52:27.320695+00	2026-04-04 17:52:27.320695+00
ITEM	family-bathroom-tiling-and-walls	FAMILY-BATHROOM-TILING-AND-WALLS	Tiling and wet-area wall finish	bathrooms	room-family-bathroom	dec-cat-finishes	Floors, walls & decorating	Bathroom finishes	96	Porcelain tile finish to wet areas with paint-grade non-wet walls unless upgraded.	4500.00			now	medium	Use this allowance to control tile format and extent. It should not quietly turn into full-height premium stone everywhere.		t	2026-04-04 17:52:27.320695+00	2026-04-04 17:52:27.320695+00
ITEM	guest-bedroom-1-floor-finish	GUEST-BEDROOM-1-FLOOR-FINISH	Floor finish	finishes	room-guest-bedroom-1	dec-cat-finishes	Floors, walls & decorating	Bedroom floors	101	Engineered oak floor within the control budget allowance.	1200.00			now	medium	Carry a restrained oak floor allowance rather than premium bespoke timber.		t	2026-04-04 17:52:27.320695+00	2026-04-04 17:52:27.320695+00
ITEM	guest-bedroom-2-floor-finish	GUEST-BEDROOM-2-FLOOR-FINISH	Floor finish	finishes	room-guest-bedroom-2	dec-cat-finishes	Floors, walls & decorating	Bedroom floors	106	Engineered oak floor within the control budget allowance.	1300.00			now	medium	Carry a restrained oak floor allowance rather than premium bespoke timber.		t	2026-04-04 17:52:27.320695+00	2026-04-04 17:52:27.320695+00
ITEM	guest-shower-room-tiling-and-walls	GUEST-SHOWER-ROOM-TILING-AND-WALLS	Tiling and wet-area wall finish	bathrooms	room-guest-shower-room	dec-cat-finishes	Floors, walls & decorating	Bathroom finishes	115	Porcelain tile finish to wet areas with paint-grade non-wet walls unless upgraded.	4000.00			now	medium	Use this allowance to control tile format and extent. It should not quietly turn into full-height premium stone everywhere.		t	2026-04-04 17:52:27.320695+00	2026-04-04 17:52:27.320695+00
ITEM	powder-room-tiling-and-walls	POWDER-ROOM-TILING-AND-WALLS	Tiling and wet-area wall finish	bathrooms	room-powder-room	dec-cat-finishes	Floors, walls & decorating	Bathroom finishes	122	Porcelain tile finish to wet areas with paint-grade non-wet walls unless upgraded.	1200.00			now	medium	Use this allowance to control tile format and extent. It should not quietly turn into full-height premium stone everywhere.		t	2026-04-04 17:52:27.320695+00	2026-04-04 17:52:27.320695+00
ITEM	principal-suite-tiling-and-walls	PRINCIPAL-SUITE-TILING-AND-WALLS	Tiling and wet-area wall finish	bathrooms	room-his-ensuite	dec-cat-finishes	Floors, walls & decorating	Bathroom finishes	87	Porcelain tile finish to wet areas with paint-grade non-wet walls unless upgraded.	5000.00			now	medium	Use this allowance to control tile format and extent. It should not quietly turn into full-height premium stone everywhere.		t	2026-04-04 17:52:27.320695+00	2026-04-04 19:48:36.945831+00
ITEM	guest-bedroom-2-ensuite-tiling-and-walls	GUEST-BEDROOM-2-ENSUITE-TILING-AND-WALLS	Tiling and wet-area wall finish	bathrooms	room-guest-bedroom-2-ensuite	dec-cat-finishes	Floors, walls & decorating	Bathroom finishes	144	Porcelain tile finish to wet areas with paint-grade non-wet walls unless upgraded.	4000.00			now	medium	Use this allowance to control tile format and extent. It should not quietly turn into full-height premium stone everywhere.		t	2026-04-04 19:48:36.945831+00	2026-04-04 19:48:36.945831+00
(13 rows)
