id,code,title,categoryId,roomGroup,roomSection,roomName,typeGroup,typeSection,baselineSpec,baselineBudgetExVat,quantity,unit,decisionStage,priority,description,architectNote,status,selectedName,selectedSource,selectedSourceUrl,selectedCostExVat,selectedNotes,createdAt,updatedAt
site-welfare-and-storage,SITE-WELFARE-AND-STORAGE,Site welfare and storage setup,prelims,General / whole project,Site setup,General / whole project,Site & substructure,Prelims,"Baseline welfare cabin, secure storage, and working site setup.",10000.00,,,now,medium,"Main prelims allowance for welfare, temporary storage, and general site enabling setup.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
site-security-and-access-control,SITE-SECURITY-AND-ACCESS-CONTROL,Site security and access control,prelims,General / whole project,Site setup,General / whole project,Site & substructure,Prelims,"Controlled temporary fencing, locking, and site security setup.",4000.00,,,now,medium,"Hold security explicitly, especially given the glazing and steel value that will appear on site later.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
temporary-power-water-and-logistics,TEMPORARY-POWER-WATER-AND-LOGISTICS,"Temporary power, water, and logistics",prelims,General / whole project,Site setup,General / whole project,Site & substructure,Prelims,Temporary utility provision and basic logistics setup.,6000.00,,,now,medium,Includes temporary services and the practical running of the site before the permanent build systems exist.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
temporary-access-and-hardstanding,TEMPORARY-ACCESS-AND-HARDSTANDING,Temporary access and hardstanding,prelims,General / whole project,Site setup,General / whole project,Site & substructure,Prelims,Simple site access and contractor hardstanding within the prelims budget.,10000.00,,,now,medium,Use this to decide how robust the temporary access strategy needs to be before the groundworks contractor starts.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
nissen-demolition,NISSEN-DEMOLITION,Nissen hut demolition and old foundation removal,groundworks,General / whole project,Groundworks & drainage,General / whole project,Site & substructure,Demolition,Demolish the existing Nissen hut and remove the old foundations.,15000.00,,,now,medium,Budget-bearing early works item already acknowledged in the project budget.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
reduced-levels-and-formation,REDUCED-LEVELS-AND-FORMATION,Reduced levels and slab formation,groundworks,General / whole project,Groundworks & drainage,General / whole project,Site & substructure,Ground formation,"Excavate, trim, and form the site to receive the raft slab and drainage.",8000.00,,,now,medium,"Keep levels, thresholds, and courtyard coordination explicit rather than hidden in one large slab number.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
below-ground-drainage,BELOW-GROUND-DRAINAGE,Below-ground drainage and courtyard drainage interfaces,groundworks,General / whole project,Groundworks & drainage,General / whole project,Site & substructure,Drainage,Standard below-ground foul and surface water drainage with courtyard threshold drainage coordination.,22000.00,,,now,medium,Critical to the courtyard and glazing threshold performance.,"Drainage, courtyard levels, and glazing thresholds need to be drawn together rather than resolved separately.",open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
incoming-services-and-sleeves,INCOMING-SERVICES-AND-SLEEVES,Incoming services and below-ground sleeves,groundworks,General / whole project,Groundworks & drainage,General / whole project,Site & substructure,Service entries,Allow basic incoming service trenches and sleeves for future connections.,7000.00,,,now,medium,Budget-bearing item for service entry points and sleeves through the substructure.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
raft-slab-system,RAFT-SLAB-SYSTEM,Raft slab system,groundworks,General / whole project,Foundations,General / whole project,Site & substructure,Foundations,Engineered raft slab with reinforcement and concrete pour within the control budget.,48000.00,,,now,medium,Main structural substructure cost item.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
thresholds-plinth-and-terrace-interface,THRESHOLDS-PLINTH-AND-TERRACE-INTERFACE,"Thresholds, plinth, and terrace interface",groundworks,General / whole project,Foundations,General / whole project,Site & substructure,Threshold and plinth details,Simple robust concrete threshold and plinth interface package.,10000.00,,,now,medium,Budget-bearing item that influences how refined the house lands on the ground.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
foundation-service-penetrations,FOUNDATION-SERVICE-PENETRATIONS,Foundation service penetrations and coordination,groundworks,General / whole project,Foundations,General / whole project,Site & substructure,Foundations,Service penetrations coordinated through the slab within the foundation design.,0.00,,,now,medium,Planning item only. Cost is already held inside the foundation and service-entry allowances.,Service entry decisions must be frozen before reinforcement and pour drawings are issued.,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
steel-frame-package,STEEL-FRAME-PACKAGE,Steel frame package,structure,General / whole project,Structure,General / whole project,Structural shell,Primary structure,Portal-style steel frame within the control budget.,76000.00,,,now,medium,Main primary structure budget item.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
